State,Source,Official/Unofficial,Total Ballots Counted (Estimate),Vote for Highest Office (President),VEP Turnout Rate,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv,Votes
United States,,,158835004,,66.40%,239247182,257605088,7.80%,1461074,1962811,616440,3294457,4971025,,535
Alabama,https://www2.alabamavotes.gov/electionnight/statewideResultsByContest.aspx?ecode=1001090,Unofficial,2306587,2297295,62.60%,3683055,3837540,2.30%,25898,50997,10266,67782,,AL,9
Alaska,https://www.elections.alaska.gov/results/20GENR/index.php,,367000,,69.80%,525568,551117,3.40%,4293,2074,1348,6927,,AK,3
Arizona,https://results.arizona.vote/#/featured/18/0,,3400000,,65.50%,5189000,5798473,8.90%,38520,76844,7536,93699,,AZ,11
Arkansas,https://results.enr.clarityelections.com/AR/106124/web.264614/#/summary,Unofficial,1212030,1206697,55.50%,2182375,2331171,3.60%,17510,36719,24698,64974,,AR,6
California,https://electionresults.sos.ca.gov/,Unofficial,16800000,,64.70%,25962648,30783255,15.00%,104730,0,102586,207316,,CA,55
Colorado,https://results.enr.clarityelections.com/CO/105975/web.264614/#/summary,,3295000,,76.40%,4313054,4595504,5.70%,18905,0,0,18905,,CO,9
Connecticut,,,1850000,,71.10%,2603327,2839560,7.70%,13268,0,4452,17720,,CT,7
Delaware,https://elections.delaware.gov/results/html/index.shtml?electionId=GE2020,Unofficial,507805,502392,70.50%,720531,780822,5.80%,5874,14176,350,15013,,DE,3
District of Columbia,https://electionresults.dcboe.org/election_results/2020-General-Election,,350000,,64.70%,540685,582065,7.10%,0,0,0,0,,DC,3
Florida,https://floridaelectionwatch.gov/CountyReportingStatus,,11150000,,71.70%,15551739,17543341,10.10%,91674,205033,4345,223139,,FL,29
Georgia,https://results.enr.clarityelections.com/GA/105369/web.264614/,,5025000,,68.10%,7383562,8255108,6.60%,50930,416771,20426,329754,,GA,16
Hawaii,https://elections.hawaii.gov/wp-content/results/histatewide.pdf,Unofficial,579165,573854,57.50%,1007920,1114466,9.10%,5007,0,0,5007,,HI,4
Idaho,https://www.livevoterturnout.com/Idaho/LiveResults/1/en/Index_113.html,Unofficial,875000,867258,67.70%,1292701,1384683,4.10%,8378,34392,5267,34968,,ID,4
Illinois,,,6100000,,67.60%,9027082,9832749,7.80%,38464,0,0,38464,,IL,20
Indiana,https://enr.indianavoters.in.gov/site/index.html,,3070000,,61.40%,5000007,5214546,3.60%,26302,0,0,26302,,IN,11
Iowa,https://electionresults.iowa.gov/IA/106279/web.264614/#/summary,,1825000,,78.60%,2321131,2439743,3.50%,9216,29137,6652,33933,,IA,6
Kansas,https://ent.sos.ks.gov/kssos_ent.html,Unofficial,1340000,1333513,64.20%,2087946,2223238,4.90%,9882,16455,5438,25522,,KS,6
Kentucky,https://results.enr.clarityelections.com/KY/106379/web.264614/#/summary,Unofficial,2150951,2134993,64.90%,3312250,3479257,2.80%,23280,46967,15881,68281,,KY,8
